Ticker,Name,"Market Capitalization: 2025C, $","Revenue: 2025C, $","Employees: 2025C, $","CAPEX: 2025C, $","Net Income: 2025C, $","Cash & Cash Equivalents: 2025C, $"
MMM US Equity,3M CO,118 ,148 ,115 ,193 ,134 ,98 
ABT US Equity,ABBOTT LABORATORIES,39 ,88 ,53 ,113 ,62 ,68 
ABBV US Equity,ABBVIE INC,25 ,71 ,128 ,186 ,97 ,90 
ACN US Equity,ACCENTURE PLC-CL A,65 ,58 ,3 ,247 ,50 ,41 
ADBE US Equity,ADOBE INC,81 ,156 ,198 ,368 ,53 ,93 
AMD US Equity,ADVANCED MICRO DEVICES,46 ,145 ,212 ,236 ,239 ,129 
AES US Equity,AES CORP,490 ,268 ,383 ,33 ,236 ,253 
AFL US Equity,AFLAC INC,184 ,191 ,343 ,485 ,76 ,81 
A US Equity,AGILENT TECHNOLOGIES INC,233 ,369 ,280 ,292 ,279 ,224 
APD US Equity,AIR PRODUCTS & CHEMICALS INC,173 ,274 ,231 ,35 ,483 ,220 
ABNB US Equity,AIRBNB INC-CLASS A,129 ,293 ,406 ,466 ,169 ,76 
AKAM US Equity,AKAMAI TECHNOLOGIES INC,445 ,441 ,362 ,223 ,420 ,381 
ALB US Equity,ALBEMARLE CORP,481 ,405 ,391 ,131 ,489 ,282 
ARE US Equity,ALEXANDRIA REAL ESTATE EQUIT,493 ,462 ,492 ,123 ,492 ,375 
ALGN US Equity,ALIGN TECHNOLOGY INC,431 ,440 ,253 ,416 ,439 ,303 
ALLE US Equity,ALLEGION PLC,475 ,452 ,321 ,432 ,401 ,384 
LNT US Equity,ALLIANT ENERGY CORP,434 ,442 ,463 ,112 ,388 ,476 
ALL US Equity,ALLSTATE CORP,197 ,63 ,128 ,352 ,86 ,347 
GOOGL US Equity,ALPHABET INC-CL A,5 ,8 ,28 ,4 ,3 ,17 
MO US Equity,ALTRIA GROUP INC,113 ,181 ,424 ,391 ,32 ,148 
AMZN US Equity,AMAZON.COM INC,4 ,2 ,2 ,1 ,7 ,5 
AMCR US Equity,AMCOR PLC,371 ,238 ,82 ,250 ,418 ,332 
AEE US Equity,AMEREN CORPORATION,346 ,349 ,385 ,56 ,294 ,498 
AEP US Equity,AMERICAN ELECTRIC POWER,202 ,186 ,299 ,30 ,144 ,426 
AXP US Equity,AMERICAN EXPRESS CO,42 ,54 ,85 ,122 ,39 ,8 
AIG US Equity,AMERICAN INTERNATIONAL GROUP,221 ,136 ,238 ,485 ,491 ,268 
AMT US Equity,AMERICAN TOWER CORP,114 ,311 ,442 ,135 ,192 ,205 
AWK US Equity,AMERICAN WATER WORKS CO INC,344 ,423 ,415 ,87 ,321 ,473 
AMP US Equity,AMERIPRISE FINANCIAL INC,195 ,198 ,332 ,369 ,125 ,62 
AME US Equity,AMETEK INC,232 ,370 ,248 ,402 ,272 ,402 
AMGN US Equity,AMGEN INC,74 ,118 ,212 ,175 ,105 ,40 
APH US Equity,AMPHENOL CORP-CL A,62 ,166 ,48 ,182 ,98 ,43 
ADI US Equity,ANALOG DEVICES INC,95 ,295 ,222 ,262 ,190 ,176 
AON US Equity,AON PLC-CLASS A,138 ,230 ,119 ,349 ,168 ,297 
APA US Equity,APA CORP,492 ,317 ,472 ,93 ,370 ,360 
APO US Equity,APOLLO GLOBAL MANAGEMENT INC,106 ,141 ,475 ,485 ,91 ,27 
AAPL US Equity,APPLE INC,1 ,5 ,34 ,15 ,1 ,10 
AMAT US Equity,APPLIED MATERIALS INC,53 ,129 ,177 ,111 ,55 ,73 
APP US Equity,APPLOVIN CORP-CLASS A,99 ,419 ,483 ,484 ,243 ,341 
APTV US Equity,APTIV PLC,446 ,187 ,39 ,199 ,228 ,244 
ACGL US Equity,ARCH CAPITAL GROUP LTD,266 ,204 ,408 ,458 ,96 ,310 
ADM US Equity,ARCHER-DANIELS-MIDLAND CO,345 ,48 ,158 ,138 ,227 ,364 
ARES US Equity,ARES MANAGEMENT CORP - A,265 ,417 ,458 ,433 ,431 ,169 
ANET US Equity,ARISTA NETWORKS INC,76 ,368 ,443 ,469 ,153 ,167 
AJG US Equity,ARTHUR J GALLAGHER & CO,151 ,283 ,127 ,392 ,263 ,30 
AIZ US Equity,ASSURANT INC,476 ,279 ,323 ,346 ,377 ,223 
T US Equity,AT&T INC,57 ,31 ,43 ,8 ,13 ,24 
ATO US Equity,ATMOS ENERGY CORP,316 ,421 ,435 ,69 ,290 ,432 
ADSK US Equity,AUTODESK INC,161 ,384 ,309 ,465 ,311 ,241 
ADP US Equity,AUTOMATIC DATA PROCESSING,86 ,179 ,102 ,374 ,106 ,140 
AZO US Equity,AUTOZONE INC,155 ,190 ,45 ,151 ,178 ,423 
AVB US Equity,AVALONBAY COMMUNITIES INC,286 ,466 ,465 ,134 ,313 ,469 
AVY US Equity,AVERY DENNISON CORP,436 ,330 ,183 ,353 ,384 ,408 
AXON US Equity,AXON ENTERPRISE INC,215 ,486 ,444 ,441 ,447 ,393 
BKR US Equity,BAKER HUGHES CO,217 ,133 ,124 ,156 ,171 ,132 
BALL US Equity,BALL CORP,425 ,280 ,302 ,269 ,109 ,324 
BAC US Equity,BANK OF AMERICA CORP,20 ,19 ,24 ,485 ,10 ,13 
BK US Equity,BANK OF NEW YORK MELLON CORP,134 ,96 ,145 ,142 ,74 ,3 
BAX US Equity,BAXTER INTERNATIONAL INC,438 ,299 ,173 ,275 ,486 ,226 
BDX US Equity,BECTON DICKINSON AND CO,188 ,173 ,94 ,208 ,237 ,358 
BRK/B US Equity,BERKSHIRE HATHAWAY INC-CL B,9 ,4 ,8 ,10 ,4 ,1 
BBY US Equity,BEST BUY CO INC,401 ,95 ,75 ,219 ,339 ,243 
TECH US Equity,BIO-TECHNE CORP,495 ,498 ,460 ,471 ,471 ,447 
BIIB US Equity,BIOGEN INC,363 ,318 ,401 ,381 ,240 ,186 
BLK US Equity,BLACKROCK INC,66 ,154 ,249 ,335 ,73 ,38 
BX US Equity,BLACKSTONE INC,40 ,256 ,439 ,451 ,155 ,209 
XYZ US Equity,BLOCK INC,191 ,155 ,355 ,380 ,146 ,67 
BA US Equity,BOEING CO/THE,59 ,43 ,32 ,89 ,194 ,44 
BKNG US Equity,BOOKING HOLDINGS INC,63 ,157 ,224 ,283 ,67 ,28 
BSX US Equity,BOSTON SCIENTIFIC CORP,82 ,212 ,132 ,203 ,219 ,397 
BMY US Equity,BRISTOL-MYERS SQUIBB CO,97 ,81 ,185 ,159 ,499 ,48 
AVGO US Equity,BROADCOM INC,6 ,64 ,193 ,240 ,12 ,26 
BR US Equity,BROADRIDGE FINANCIAL SOLUTIO,309 ,371 ,313 ,462 ,359 ,369 
BRO US Equity,BROWN & BROWN INC,320 ,391 ,287 ,448 ,320 ,299 
BF/B US Equity,BROWN-FORMAN CORP-CLASS B,419 ,443 ,437 ,378 ,353 ,396 
BLDR US Equity,BUILDERS FIRSTSOURCE INC,422 ,217 ,205 ,300 ,314 ,453 
BG US Equity,BUNGE GLOBAL SA,479 ,77 ,231 ,150 ,301 ,141 
BXP US Equity,BXP INC,477 ,454 ,489 ,172 ,455 ,256 
CHRW US Equity,C.H. ROBINSON WORLDWIDE INC,390 ,220 ,348 ,477 ,403 ,449 
CDNS US Equity,CADENCE DESIGN SYS INC,127 ,426 ,341 ,389 ,319 ,173 
CPT US Equity,CAMDEN PROPERTY TRUST,461 ,496 ,482 ,297 ,466 ,495 
COF US Equity,CAPITAL ONE FINANCIAL CORP,69 ,59 ,138 ,164 ,182 ,155 
CAH US Equity,CARDINAL HEALTH INC,237 ,15 ,123 ,259 ,249 ,125 
CCL US Equity,CARNIVAL CORP,272 ,139 ,52 ,68 ,157 ,213 
CARR US Equity,CARRIER GLOBAL CORP,175 ,170 ,146 ,265 ,71 ,123 
CVNA US Equity,CARVANA CO,226 ,252 ,288 ,434 ,461 ,229 
CAT US Equity,CATERPILLAR INC,58 ,61 ,54 ,81 ,34 ,75 
CBOE US Equity,CBOE GLOBAL MARKETS INC,378 ,487 ,481 ,452 ,375 ,320 
CBRE US Equity,CBRE GROUP INC - A,238 ,109 ,40 ,325 ,333 ,291 
CDW US Equity,CDW CORP/DE,355 ,178 ,311 ,409 ,315 ,385 
COR US Equity,CENCORA INC,174 ,10 ,151 ,227 ,250 ,112 
CNC US Equity,CENTENE CORP,299 ,23 ,118 ,233 ,131 ,35 
CNP US Equity,CENTERPOINT ENERGY INC,377 ,333 ,386 ,50 ,327 ,492 
CF US Equity,CF INDUSTRIES HOLDINGS INC,443 ,390 ,466 ,266 ,286 ,239 
CRL US Equity,CHARLES RIVER LABORATORIES,486 ,438 ,245 ,340 ,475 ,435 
CHTR US Equity,CHARTER COMMUNICATIONS INC-A,204 ,74 ,67 ,21 ,80 ,391 
CVX US Equity,CHEVRON CORP,33 ,18 ,155 ,12 ,17 ,77 
CMG US Equity,CHIPOTLE MEXICAN GRILL INC,128 ,287 ,44 ,249 ,255 ,338 
CB US Equity,CHUBB LTD,98 ,72 ,161 ,485 ,42 ,174 
CHD US Equity,CHURCH & DWIGHT CO INC,326 ,387 ,430 ,367 ,404 ,314 
CINF US Equity,CINCINNATI FINANCIAL CORP,361 ,286 ,431 ,476 ,189 ,309 
CTAS US Equity,CINTAS CORP,108 ,305 ,144 ,290 ,226 ,424 
CSCO US Equity,CISCO SYSTEMS INC,30 ,69 ,105 ,195 ,38 ,65 
C US Equity,CITIGROUP INC,45 ,22 ,22 ,37 ,25 ,16 
CFG US Equity,CITIZENS FINANCIAL GROUP,336 ,273 ,289 ,410 ,221 ,257 
CLX US Equity,CLOROX COMPANY,441 ,360 ,402 ,348 ,368 ,445 
CME US Equity,CME GROUP INC,124 ,385 ,452 ,431 ,120 ,159 
